bank,target,estimator,stratum,n,L1_mean,L1_median,JS_mean,JS_median,top_class_agreement,spearman_mean,spearman_median,spearman_valid
A,clean,T015_zero_soft,all,100,1.2869922052452523,1.2967403799166164,0.33223092264445486,0.32530580766506934,0.27,0.2662093949321779,0.318658036487809,100
A,clean,T015_zero_soft,quartile_1,25,1.408415798916098,1.5389301407230445,0.3720321572822348,0.3998131679914467,0.48,0.30874297460436545,0.37194949554383877,25
A,clean,T015_zero_soft,quartile_2,25,1.4466589147720008,1.4543962323179516,0.3861612119614542,0.39633100055710146,0.12,0.2695331911280991,0.3370999312316211,25
A,clean,T015_zero_soft,quartile_3,25,1.207355312539851,1.2676771376536604,0.30453744308361375,0.3196361007738735,0.28,0.2646084635472257,0.3504633733153655,25
A,clean,T015_zero_soft,quartile_4,25,1.0855387947530593,1.1578731693818956,0.26619287825051685,0.2682631213322253,0.2,0.2219529504490215,0.27589669814188345,25
A,clean,T015_zero_hard,all,100,1.264,1.3,0.3609625216568672,0.34352859132378344,0.29,0.20675758208886358,0.20718243331862085,100
A,clean,T015_zero_hard,quartile_1,25,1.236,1.3,0.3567732513130986,0.31452722203472094,0.44,0.2381547384402171,0.3831305140884606,25
A,clean,T015_zero_hard,quartile_2,25,1.4440000000000004,1.5,0.41660752635969805,0.425559122195069,0.16,0.20474883861678214,0.31337559712098123,25
A,clean,T015_zero_hard,quartile_3,25,1.1960000000000002,1.2999999999999998,0.3365706347789731,0.3317910444917114,0.28,0.20461173182763873,0.16761959991370148,25
A,clean,T015_zero_hard,quartile_4,25,1.18,1.3,0.3338986741756991,0.32214171981779427,0.28,0.17951501947081636,0.16508454493605446,25
A,brightness_dark,BBSE-H-01,all,100,1.1198191410536011,1.1262351613310755,0.31393229720233684,0.2764734383236087,0.44,0.3170373399209508,0.3367437701802237,100
A,brightness_dark,BBSE-H-01,quartile_1,25,0.9566105622271114,0.9129222220389881,0.2647388141289683,0.19245389396349988,0.6,0.4083439991576062,0.3831305140884606,25
A,brightness_dark,BBSE-H-01,quartile_2,25,0.971738134022616,0.9919209412526987,0.2511834872949132,0.22475699611839017,0.48,0.4511520229256714,0.44523668901482455,25
