target,context,layer,gamma_abs_mean,beta_abs_mean,clamp_fraction,clamp_low_fraction,clamp_high_fraction,moment_mismatch_before,moment_mismatch_after,gamma_abs_max_max,beta_abs_max_max,clamp_fraction_max,clients_clamp_gt10pct
contrast_low,moment_correct,2,0.14878846533596515,0.06950310040265321,0.0,0.0,0.0,0.08568108282902542,4.559795803664716e-05,1.3944311141967773,0.7028888463973999,0.0,0
contrast_low,moment_wrong_clean,1,0.08438438540324569,0.024188834666274486,0.0,0.0,0.0,0.05673382334771835,1.2206105209120561e-05,0.7794198989868164,0.3379979133605957,0.0,0
contrast_low,moment_wrong_clean,2,0.06679877247661352,0.03992416467517614,0.0,0.0,0.0,0.04382354630407904,2.6144689373839486e-05,0.6903444528579712,0.4865260124206543,0.0,0
contrast_low,moment_wrong_alt,1,0.4006651094555855,0.028314866553992034,0.0,0.0,0.0,0.12010921070423689,4.4660224909206055e-05,2.892505645751953,0.3264721632003784,0.0,0
contrast_low,moment_wrong_alt,2,0.07875429764389992,0.04384618952870369,0.0,0.0,0.0,0.05214624257890165,5.134181274358441e-05,0.745820164680481,0.3986237049102783,0.0,0
contrast_low,moment_noise_image,1,0.3814633196592331,0.22283121213316917,0.0,0.0,0.0,0.2713940796944076,2.0181257529008327e-05,1.49052095413208,0.6090129613876343,0.0,0
contrast_low,moment_noise_image,2,0.8790671181678772,0.7895057672262191,0.03125,0.03125,0.0,0.24488653012029415,0.00014833715249851757,1.9730262756347656,3.229269504547119,0.03125,0
gaussian_noise,moment_correct,1,0.11915589585900306,0.05686481013894081,0.0,0.0,0.0,0.1183824242608515,7.451029247868865e-06,0.5701320767402649,0.3930356800556183,0.0,0
gaussian_noise,moment_correct,2,0.109787028580904,0.08379312943667173,0.0,0.0,0.0,0.05814145801310759,2.642017646527038e-05,0.574500560760498,0.9005910158157349,0.0,0
gaussian_noise,moment_wrong_clean,1,0.08438438540324569,0.024188834666274486,0.0,0.0,0.0,0.05673382334771835,1.2206105209120561e-05,0.7794198989868164,0.3379979133605957,0.0,0
gaussian_noise,moment_wrong_clean,2,0.06679877247661352,0.03992416467517614,0.0,0.0,0.0,0.04382354630407904,2.6144689373839486e-05,0.6903444528579712,0.4865260124206543,0.0,0
gaussian_noise,moment_wrong_alt,1,1.453333033323288,0.26490708351135256,0.15625,0.0,0.15625,0.37726660595096334,0.07325590162285871,3.0,2.2019779682159424,0.15625,100
gaussian_noise,moment_wrong_alt,2,0.46394514948129656,0.26420992851257324,0.00015625,0.0,0.00015625,0.13676858619276636,7.743868234221338e-05,3.0,4.566707611083984,0.015625,0
gaussian_noise,moment_noise_image,1,0.3814633196592331,0.22283121213316917,0.0,0.0,0.0,0.2713940796944076,2.0181257529008327e-05,1.49052095413208,0.6090129613876343,0.0,0
gaussian_noise,moment_noise_image,2,0.8790671181678772,0.7895057672262191,0.03125,0.03125,0.0,0.24488653012029415,0.00014833715249851757,1.9730262756347656,3.229269504547119,0.03125,0
gaussian_blur,moment_correct,1,0.4006651094555855,0.028314866553992034,0.0,0.0,0.0,0.12010921070423689,4.4660224909206055e-05,2.892505645751953,0.3264721632003784,0.0,0
gaussian_blur,moment_correct,2,0.07875429764389992,0.04384618952870369,0.0,0.0,0.0,0.05214624257890165,5.134181274358441e-05,0.745820164680481,0.3986237049102783,0.0,0
gaussian_blur,moment_wrong_clean,1,0.08438438540324569,0.024188834666274486,0.0,0.0,0.0,0.05673382334771835,1.2206105209120561e-05,0.7794198989868164,0.3379979133605957,0.0,0
gaussian_blur,moment_wrong_clean,2,0.06679877247661352,0.03992416467517614,0.0,0.0,0.0,0.04382354630407904,2.6144689373839486e-05,0.6903444528579712,0.4865260124206543,0.0,0
gaussian_blur,moment_wrong_alt,1,1.1831746864318848,0.06112144373357296,0.0396875,0.0,0.0396875,0.23748302955970366,0.0008466570762111289,3.0,0.4979093670845032,0.125,2
gaussian_blur,moment_wrong_alt,2,0.14878846533596515,0.06950310040265321,0.0,0.0,0.0,0.08568108282902542,4.559795803664716e-05,1.3944311141967773,0.7028888463973999,0.0,0
gaussian_blur,moment_noise_image,1,0.3814633196592331,0.22283121213316917,0.0,0.0,0.0,0.2713940796944076,2.0181257529008327e-05,1.49052095413208,0.6090129613876343,0.0,0
gaussian_blur,moment_noise_image,2,0.8790671181678772,0.7895057672262191,0.03125,0.03125,0.0,0.24488653012029415,0.00014833715249851757,1.9730262756347656,3.229269504547119,0.03125,0
