salt,bank,target1,target2,orientation,same_client_overlap,control_mean,control_min,control_max,control_by_offset
T013-S1,B,clean,gaussian_noise,0,0.75,0.44375,0.4,0.5,"{""7"": 0.43, ""13"": 0.44, ""23"": 0.44, ""37"": 0.5, ""41"": 0.42, ""53"": 0.4, ""71"": 0.47, ""89"": 0.45}"
T013-S1,B,clean,gaussian_noise,1,0.74,0.44125,0.39,0.5,"{""7"": 0.43, ""13"": 0.39, ""23"": 0.46, ""37"": 0.5, ""41"": 0.4, ""53"": 0.4, ""71"": 0.47, ""89"": 0.48}"
T013-S1,B,clean,gaussian_blur,0,0.66,0.36875,0.3,0.41,"{""7"": 0.41, ""13"": 0.41, ""23"": 0.36, ""37"": 0.39, ""41"": 0.35, ""53"": 0.3, ""71"": 0.37, ""89"": 0.36}"
T013-S1,B,clean,gaussian_blur,1,0.74,0.3625,0.34,0.4,"{""7"": 0.38, ""13"": 0.35, ""23"": 0.4, ""37"": 0.35, ""41"": 0.35, ""53"": 0.35, ""71"": 0.34, ""89"": 0.38}"
T013-S1,B,brightness_dark,contrast_low,0,0.53,0.38125,0.35,0.47,"{""7"": 0.37, ""13"": 0.38, ""23"": 0.36, ""37"": 0.35, ""41"": 0.39, ""53"": 0.35, ""71"": 0.38, ""89"": 0.47}"
T013-S1,B,brightness_dark,contrast_low,1,0.6,0.40125,0.33,0.46,"{""7"": 0.43, ""13"": 0.46, ""23"": 0.45, ""37"": 0.39, ""41"": 0.4, ""53"": 0.37, ""71"": 0.33, ""89"": 0.38}"
T013-S1,B,brightness_dark,gaussian_noise,0,0.53,0.43625,0.39,0.47,"{""7"": 0.46, ""13"": 0.45, ""23"": 0.39, ""37"": 0.47, ""41"": 0.45, ""53"": 0.41, ""71"": 0.42, ""89"": 0.44}"
T013-S1,B,brightness_dark,gaussian_noise,1,0.57,0.46375,0.41,0.49,"{""7"": 0.49, ""13"": 0.49, ""23"": 0.47, ""37"": 0.48, ""41"": 0.46, ""53"": 0.41, ""71"": 0.44, ""89"": 0.47}"
T013-S1,B,brightness_dark,gaussian_blur,0,0.53,0.3975,0.33,0.47,"{""7"": 0.4, ""13"": 0.43, ""23"": 0.33, ""37"": 0.41, ""41"": 0.4, ""53"": 0.35, ""71"": 0.39, ""89"": 0.47}"
T013-S1,B,brightness_dark,gaussian_blur,1,0.64,0.4225,0.34,0.48,"{""7"": 0.45, ""13"": 0.48, ""23"": 0.45, ""37"": 0.39, ""41"": 0.44, ""53"": 0.41, ""71"": 0.34, ""89"": 0.42}"
T013-S1,B,contrast_low,gaussian_noise,0,0.55,0.33125,0.29,0.39,"{""7"": 0.3, ""13"": 0.32, ""23"": 0.35, ""37"": 0.39, ""41"": 0.32, ""53"": 0.29, ""71"": 0.35, ""89"": 0.33}"
T013-S1,B,contrast_low,gaussian_noise,1,0.51,0.35,0.31,0.42,"{""7"": 0.32, ""13"": 0.34, ""23"": 0.42, ""37"": 0.42, ""41"": 0.31, ""53"": 0.32, ""71"": 0.33, ""89"": 0.34}"
T013-S1,B,contrast_low,gaussian_blur,0,0.71,0.32875,0.25,0.42,"{""7"": 0.25, ""13"": 0.32, ""23"": 0.31, ""37"": 0.42, ""41"": 0.31, ""53"": 0.31, ""71"": 0.39, ""89"": 0.32}"
T013-S1,B,contrast_low,gaussian_blur,1,0.7,0.355,0.33,0.39,"{""7"": 0.39, ""13"": 0.33, ""23"": 0.33, ""37"": 0.38, ""41"": 0.35, ""53"": 0.38, ""71"": 0.35, ""89"": 0.33}"
T013-S1,B,gaussian_noise,gaussian_blur,0,0.63,0.37875,0.3,0.45,"{""7"": 0.4, ""13"": 0.45, ""23"": 0.34, ""37"": 0.36, ""41"": 0.35, ""53"": 0.3, ""71"": 0.43, ""89"": 0.4}"
T013-S1,B,gaussian_noise,gaussian_blur,1,0.65,0.37875,0.34,0.43,"{""7"": 0.39, ""13"": 0.4, ""23"": 0.43, ""37"": 0.35, ""41"": 0.34, ""53"": 0.37, ""71"": 0.37, ""89"": 0.38}"
T013-S2,A,clean,brightness_dark,0,0.57,0.41125,0.37,0.47,"{""7"": 0.45, ""13"": 0.43, ""23"": 0.4, ""37"": 0.4, ""41"": 0.37, ""53"": 0.39, ""71"": 0.47, ""89"": 0.38}"
T013-S2,A,clean,brightness_dark,1,0.54,0.42625,0.35,0.47,"{""7"": 0.44, ""13"": 0.42, ""23"": 0.41, ""37"": 0.42, ""41"": 0.35, ""53"": 0.44, ""71"": 0.47, ""89"": 0.46}"
T013-S2,A,clean,contrast_low,0,0.56,0.3,0.24,0.35,"{""7"": 0.3, ""13"": 0.35, ""23"": 0.3, ""37"": 0.28, ""41"": 0.33, ""53"": 0.24, ""71"": 0.3, ""89"": 0.3}"
T013-S2,A,clean,contrast_low,1,0.59,0.35125,0.3,0.41,"{""7"": 0.36, ""13"": 0.37, ""23"": 0.3, ""37"": 0.33, ""41"": 0.41, ""53"": 0.32, ""71"": 0.31, ""89"": 0.41}"
T013-S2,A,clean,gaussian_noise,0,0.81,0.4225,0.37,0.5,"{""7"": 0.37, ""13"": 0.47, ""23"": 0.46, ""37"": 0.5, ""41"": 0.39, ""53"": 0.39, ""71"": 0.42, ""89"": 0.38}"
T013-S2,A,clean,gaussian_noise,1,0.78,0.44125,0.37,0.5,"{""7"": 0.43, ""13"": 0.42, ""23"": 0.5, ""37"": 0.47, ""41"": 0.45, ""53"": 0.37, ""71"": 0.45, ""89"": 0.44}"
T013-S2,A,clean,gaussian_blur,0,0.74,0.3425,0.31,0.38,"{""7"": 0.34, ""13"": 0.37, ""23"": 0.38, ""37"": 0.32, ""41"": 0.36, ""53"": 0.31, ""71"": 0.35, ""89"": 0.31}"
T013-S2,A,clean,gaussian_blur,1,0.7,0.3625,0.33,0.39,"{""7"": 0.37, ""13"": 0.37, ""23"": 0.37, ""37"": 0.33, ""41"": 0.39, ""53"": 0.33, ""71"": 0.37, ""89"": 0.37}"
T013-S2,A,brightness_dark,contrast_low,0,0.54,0.39375,0.32,0.47,"{""7"": 0.38, ""13"": 0.44, ""23"": 0.42, ""37"": 0.32, ""41"": 0.44, ""53"": 0.36, ""71"": 0.32, ""89"": 0.47}"
T013-S2,A,brightness_dark,contrast_low,1,0.61,0.43125,0.41,0.46,"{""7"": 0.44, ""13"": 0.45, ""23"": 0.44, ""37"": 0.41, ""41"": 0.41, ""53"": 0.46, ""71"": 0.41, ""89"": 0.43}"
T013-S2,A,brightness_dark,gaussian_noise,0,0.54,0.43125,0.4,0.49,"{""7"": 0.45, ""13"": 0.42, ""23"": 0.41, ""37"": 0.43, ""41"": 0.49, ""53"": 0.41, ""71"": 0.4, ""89"": 0.44}"
T013-S2,A,brightness_dark,gaussian_noise,1,0.52,0.43625,0.4,0.47,"{""7"": 0.47, ""13"": 0.45, ""23"": 0.41, ""37"": 0.45, ""41"": 0.44, ""53"": 0.42, ""71"": 0.4, ""89"": 0.45}"
T013-S2,A,brightness_dark,gaussian_blur,0,0.54,0.3875,0.34,0.45,"{""7"": 0.39, ""13"": 0.4, ""23"": 0.37, ""37"": 0.36, ""41"": 0.42, ""53"": 0.37, ""71"": 0.34, ""89"": 0.45}"
T013-S2,A,brightness_dark,gaussian_blur,1,0.62,0.4225,0.37,0.46,"{""7"": 0.46, ""13"": 0.45, ""23"": 0.37, ""37"": 0.4, ""41"": 0.43, ""53"": 0.44, ""71"": 0.4, ""89"": 0.43}"
T013-S2,A,contrast_low,gaussian_noise,0,0.54,0.375,0.31,0.45,"{""7"": 0.35, ""13"": 0.44, ""23"": 0.39, ""37"": 0.45, ""41"": 0.34, ""53"": 0.35, ""71"": 0.37, ""89"": 0.31}"
T013-S2,A,contrast_low,gaussian_noise,1,0.53,0.335,0.28,0.41,"{""7"": 0.32, ""13"": 0.32, ""23"": 0.37, ""37"": 0.41, ""41"": 0.36, ""53"": 0.28, ""71"": 0.3, ""89"": 0.32}"
T013-S2,A,contrast_low,gaussian_blur,0,0.67,0.35875,0.32,0.41,"{""7"": 0.34, ""13"": 0.38, ""23"": 0.35, ""37"": 0.41, ""41"": 0.37, ""53"": 0.35, ""71"": 0.35, ""89"": 0.32}"
T013-S2,A,contrast_low,gaussian_blur,1,0.65,0.33375,0.3,0.4,"{""7"": 0.33, ""13"": 0.35, ""23"": 0.31, ""37"": 0.4, ""41"": 0.3, ""53"": 0.33, ""71"": 0.32, ""89"": 0.33}"
T013-S2,A,gaussian_noise,gaussian_blur,0,0.7,0.36625,0.34,0.42,"{""7"": 0.35, ""13"": 0.42, ""23"": 0.4, ""37"": 0.34, ""41"": 0.36, ""53"": 0.36, ""71"": 0.34, ""89"": 0.36}"
T013-S2,A,gaussian_noise,gaussian_blur,1,0.71,0.38875,0.29,0.44,"{""7"": 0.42, ""13"": 0.44, ""23"": 0.42, ""37"": 0.37, ""41"": 0.34, ""53"": 0.29, ""71"": 0.42, ""89"": 0.41}"
T013-S2,B,clean,brightness_dark,0,0.58,0.4075,0.35,0.48,"{""7"": 0.43, ""13"": 0.45, ""23"": 0.4, ""37"": 0.38, ""41"": 0.35, ""53"": 0.4, ""71"": 0.48, ""89"": 0.37}"
T013-S2,B,clean,brightness_dark,1,0.51,0.42125,0.36,0.46,"{""7"": 0.44, ""13"": 0.41, ""23"": 0.43, ""37"": 0.39, ""41"": 0.36, ""53"": 0.44, ""71"": 0.46, ""89"": 0.44}"
T013-S2,B,clean,contrast_low,0,0.54,0.30375,0.23,0.36,"{""7"": 0.32, ""13"": 0.36, ""23"": 0.3, ""37"": 0.23, ""41"": 0.32, ""53"": 0.24, ""71"": 0.33, ""89"": 0.33}"
T013-S2,B,clean,contrast_low,1,0.53,0.355,0.31,0.43,"{""7"": 0.35, ""13"": 0.37, ""23"": 0.32, ""37"": 0.33, ""41"": 0.39, ""53"": 0.31, ""71"": 0.34, ""89"": 0.43}"
T013-S2,B,clean,gaussian_noise,0,0.75,0.42125,0.35,0.48,"{""7"": 0.35, ""13"": 0.42, ""23"": 0.45, ""37"": 0.45, ""41"": 0.43, ""53"": 0.39, ""71"": 0.48, ""89"": 0.4}"
T013-S2,B,clean,gaussian_noise,1,0.78,0.4575,0.39,0.48,"{""7"": 0.47, ""13"": 0.45, ""23"": 0.48, ""37"": 0.46, ""41"": 0.47, ""53"": 0.39, ""71"": 0.46, ""89"": 0.48}"
T013-S2,B,clean,gaussian_blur,0,0.68,0.34125,0.27,0.39,"{""7"": 0.36, ""13"": 0.37, ""23"": 0.37, ""37"": 0.29, ""41"": 0.36, ""53"": 0.27, ""71"": 0.39, ""89"": 0.32}"
T013-S2,B,clean,gaussian_blur,1,0.66,0.36,0.32,0.39,"{""7"": 0.38, ""13"": 0.35, ""23"": 0.36, ""37"": 0.34, ""41"": 0.39, ""53"": 0.32, ""71"": 0.38, ""89"": 0.36}"
T013-S2,B,brightness_dark,contrast_low,0,0.56,0.4,0.32,0.46,"{""7"": 0.42, ""13"": 0.41, ""23"": 0.46, ""37"": 0.34, ""41"": 0.46, ""53"": 0.34, ""71"": 0.32, ""89"": 0.45}"
T013-S2,B,brightness_dark,contrast_low,1,0.62,0.39875,0.38,0.42,"{""7"": 0.4, ""13"": 0.42, ""23"": 0.38, ""37"": 0.39, ""41"": 0.39, ""53"": 0.41, ""71"": 0.38, ""89"": 0.42}"
T013-S2,B,brightness_dark,gaussian_noise,0,0.53,0.44,0.41,0.48,"{""7"": 0.46, ""13"": 0.42, ""23"": 0.41, ""37"": 0.45, ""41"": 0.48, ""53"": 0.42, ""71"": 0.43, ""89"": 0.45}"
T013-S2,B,brightness_dark,gaussian_noise,1,0.52,0.42875,0.39,0.46,"{""7"": 0.45, ""13"": 0.46, ""23"": 0.4, ""37"": 0.46, ""41"": 0.44, ""53"": 0.4, ""71"": 0.39, ""89"": 0.43}"
T013-S2,B,brightness_dark,gaussian_blur,0,0.55,0.3925,0.33,0.44,"{""7"": 0.4, ""13"": 0.44, ""23"": 0.41, ""37"": 0.35, ""41"": 0.42, ""53"": 0.35, ""71"": 0.33, ""89"": 0.44}"
